,№ заявки,Цех,Инв. номер,Год выпуска,Оборудование,Модель,Дата открытия,Описание неисправ.,Причина неисправности,Принятые меры,Дата закрытия заявки,data,day,month,year,temp,длительность ремонта,Категория оборудования
25538,24-09-151,ЦЕХ 20,5-632,2018.0,электроэрозионный копировально-прошивной станок с чпу,FORM P 350,2024-09-27,н/р холодильник,ош. холодильнику,"диагностика, перезагрузка станка",2024-10-01,2024-09-27,27.0,9.0,2024.0,21.0,4 days,Э
25541,24-09-158,ЦЕХ 20,6-258,2010.0,bakуm.эл.пeчь,2.OVP-4035/36 MHV,2024-09-30,пневмо остров не держит давление,неисправность пневмопривода поворота откр.-закр. задвижкивак. клапана,ремонт клапана. механику заказать или подобрать специалистами кбугмех ( огк-2) данный механизм поворота закр.-откр. задвижкивак. клапана,2024-10-01,2024-09-30,30.0,9.0,2024.0,13.0,1 days,Г
25542,24-09-153,ЦЕХ 25,5-235,2011.0,5-ти осевой обрабатывающий центр,PICOMAX 825 VERSA,2024-09-30,при запускеиздает визг тормозов и выд. ош. перезагрзка двиг. по оси z,выход из строя сервопривода heidenhain um 122d id 519 972-01,требуется приобретение и замена сервопривода силами бэсс,2024-10-09,2024-09-30,30.0,9.0,2024.0,13.0,9 days,А
25543,24-09-160,ЦЕХ 43,5-218,2004.0,oбpaбатывающий цehtp с чпу,TB-1306,2024-09-30,ош. по охлаждению,сбой питания. сработал автоматический выключатель станции охлаждения.,"перезагрузка, включение автоматического выключателя.",2024-09-30,2024-09-30,30.0,9.0,2024.0,13.0,0 days,А
25544,24-09-154,ЦЕХ 25,5-746,2002.0,tokaphый ctанок с чпу,SLT-630/1500MC,2024-09-30,отреферировать рев. голову,не сработал вводной автомат,силами цеха востановлена работа,2024-10-01,2024-09-30,30.0,9.0,2024.0,13.0,1 days,Т
25545,24-09-163,ЦЕХ 23,6/177,1991.0,п/автомат,7А773 ПН,2024-09-30,не запускается,выбивает автомат,"замена реле, проводки",2024-10-02,2024-09-30,30.0,9.0,2024.0,13.0,2 days,Б
25546,24-09-157,ЦЕХ 43,6-505,2022.0,станок радиально-сверлильный,JRD-1600W,2024-09-30,устранить течь поворотной части рукова,исправлено силами цеха.,-,2024-11-06,2024-09-30,30.0,9.0,2024.0,13.0,37 days,С
25547,24-09-156,ЦЕХ 43,6-506,2022.0,станок радиально-сверлильный,JRD-1600W,2024-09-30,устранить течь поворотной части рукова,исправлено силами цеха.,-,2024-11-06,2024-09-30,30.0,9.0,2024.0,13.0,37 days,С
25548,24-09-152,ЦЕХ 28,3-221,1988.0,уhиверсальhо-круглошлифовальhый ст-к,S 40,2024-09-30,не включается гидравлика,неисправен блок питания 24 в,произведен ремонт блока питания,2024-10-22,2024-09-30,30.0,9.0,2024.0,13.0,22 days,Ш
25549,24-09-159,ЦЕХ 28,3-221,1988.0,уhиверсальhо-круглошлифовальhый ст-к,S 40,2024-09-30,не вкл. гидравлика,неисправность блока питания 24 в,необходима закупка стабилизатора напрояжения,2024-10-22,2024-09-30,30.0,9.0,2024.0,13.0,22 days,Ш
25550,24-09-162,ЦЕХ 20,6-624,2013.0,установка для нанесения алитированных диффузиционных покрытий газовым циркуляционным методом,6818-2803,2024-09-30,проверка герм.вак.сист.,проверка выполнена.,проверка выполнена.,2024-10-16,2024-09-30,30.0,9.0,2024.0,13.0,16 days,У
25551,24-09-155,ЦЕХ 26,5-773,2013.0,центр токарный обрабатывающий с чпу,DZ65-ARY,2024-09-30,пнев. пи 0 ош. контр. хода 211,сбой датчика пиноли.,регулировка датчика.,2024-10-10,2024-09-30,30.0,9.0,2024.0,13.0,10 days,Т
25552,24-10-006,ЦЕХ 39,4/31,1978.0,koopдинатно-pactoчhой ctанок 2x ctoeчh.,WKV-100,2024-10-01,течет гидроцелиндр стола,течь г/цилиндра,"заменено уплотнение, г/цилиндр продиагностирован, утечка устранена. г/цилиндр смонтирован на станок. механику цеха иметь уплотнения в наличии и регулярно проводить то-1 и то-2",2024-10-22,2024-10-01,1.0,10.0,2024.0,17.0,21 days,А
25553,24-10-007,ЦЕХ 43,5-218,2004.0,oбpaбатывающий цehtp с чпу,TB-1306,2024-10-01,перегрев гидровлической системы,выход из строя насоса гидросистемы.,ремонт силами цеха.,2024-10-03,2024-10-01,1.0,10.0,2024.0,17.0,2 days,А
25554,24-10-008,ЦЕХ 43,1/1840,1976.0,tokaph.ct.с чпу,MDW-20C,2024-10-01,датчик 2 по оси х1 не найден,загрязнение датчика линейных перемещений.,очистка датчика.,2024-10-03,2024-10-01,1.0,10.0,2024.0,17.0,2 days,Т
25555,24-10-001,ЦЕХ 22,5-62,2005.0,печь индукционного нагрева д/пайки,ПИН-П,2024-10-01,в теристорных столбах хлопок.,не вкл,"замена силового клеммника, сгоревших проводов",2024-10-03,2024-10-01,1.0,10.0,2024.0,17.0,2 days,Г
25556,24-10-010,ЦЕХ 23,5-711,2001.0,спец.фрезерный с чпу,А-750,2024-10-01,вибрация по оси х,вибрация по х,диагностика,2024-10-02,2024-10-01,1.0,10.0,2024.0,17.0,1 days,Ф
25557,24-10-003,ЦЕХ 41,5-109,2020.0,станок заточный с чпу,HELITRONIC VISION 400L,2024-10-01,отказ сист. блокировки дверей.нет сраб.щупа привязки дверей,отсутствует щуп системы ренишоу,диагностика. механику приобрести щуп,2024-10-31,2024-10-01,1.0,10.0,2024.0,17.0,30 days,И
25558,24-10-004,ЦЕХ 23,5-800,2022.0,станок токарный с чпу,CTX510 ECOLINE,2024-10-01,не раб. щуп измерительный,неисправность блока управления изм щупа,"демонтаж блока, ремонт и монтаж блока управления изм щупа",2024-10-02,2024-10-01,1.0,10.0,2024.0,17.0,1 days,Т
25559,24-10-009,ЦЕХ 43,5-223,2006.0,центр фрезерный обрабатывающий с чпу,C-40U,2024-10-01,не работает датчик шпинделя сист. охлаж.,неисправность реле,замена реле,2024-10-02,2024-10-01,1.0,10.0,2024.0,17.0,1 days,А
25560,24-10-002,ЦЕХ 15,3-646,2001.0,эл.печь вакуумная,VFC-5.24RAK,2024-10-01,блок управления печью,неисправен блок управления печью,ремонт блока упавления печью,2024-10-31,2024-10-01,1.0,10.0,2024.0,17.0,30 days,Г
25561,24-10-005,ЦЕХ 39,5/525,2000.0,эл.эpоз.стан.с чпу,MONDOSTAR-50,2024-10-01,не запускается,неисправность привода двигателя,привод отремонтирован,2024-10-11,2024-10-01,1.0,10.0,2024.0,17.0,10 days,Э
25562,24-10-012,ЦЕХ 41,3-217,2002.0,уhиверсальhо-круглошлифовальhый ст-к,КШ-3М,2024-10-01,нет включение привода подвода камня,,,2024-10-31,2024-10-01,1.0,10.0,2024.0,17.0,30 days,Ш
25563,24-10-016,ЦЕХ 26,5-763,2012.0,спец.токарно-винторезный ст-к,МТ-10-И,2024-10-02,ош: ось sp - контроль контура,обрыв приводных ремней шпинделя.,диагностика. ремни заменены силами цеха.,2024-10-10,2024-10-02,2.0,10.0,2024.0,21.0,8 days,Т
25564,24-10-013,ЦЕХ 28,5-750,2002.0,станок для обработки в центрах с чпу,MASTURN 50 CNC / 800,2024-10-02,не вкл экран,выход из строя блока питания панели оператора.,блок питания переставлен со станка masturn цеха 22. необходимо приобретение блока питания для станка цеха 22.,2024-10-09,2024-10-02,2.0,10.0,2024.0,21.0,7 days,Т
25565,24-10-018,ЦЕХ 41,8-139,2002.0,станок резьбошлифовальный с чпу,RG-500,2024-10-02,сбой чпу,выход из строя датчика линейных перемещений оси w.,"для работы правящего устройства, требуется замена датчика.",2024-10-29,2024-10-02,2.0,10.0,2024.0,21.0,27 days,Ш
25566,24-10-020,ЦЕХ 16,5-775,2013.0,станок токарный универсальный,DUS-1110 Li,2024-10-02,заклинило дверь раб зоны,,неисправность устранена,2024-11-05,2024-10-02,2.0,10.0,2024.0,21.0,34 days,Т
25567,24-10-019,ЦЕХ 43,5-781,2014.0,токарный станок с чпу,SP 50 C8,2024-10-02,"блокировка вращения магазина, не закрыта ячейка инструмента",загрязнение датчика магазина.,очистка датчика.,2024-10-03,2024-10-02,2.0,10.0,2024.0,21.0,1 days,Т
25568,24-10-014,ЦЕХ 28,5/687,1988.0,фрезерhый стаhок с чпу,MH 600,2024-10-02,при вкл гидравлики опускается стол,сработал автомат,автомат включен,2024-10-03,2024-10-02,2.0,10.0,2024.0,21.0,1 days,Ф
25569,24-10-023,ЦЕХ 43,5-246,2014.0,5-ти осевой обрабатывающий центр с чпу,XCEEDER1200,2024-10-03,ош 285 (винт гайка. сигнал перегрева),"станок работает, ошибок нет.",диагностика.,2024-10-08,2024-10-03,3.0,10.0,2024.0,23.0,5 days,А
